Year,Division,Number_of_Hospitals,Number_of_Beds,Crude_Birth_Rate,GDP_per_Capita_USD,Dengue_Cases,Beds_per_1000_Pop,Hospitals_per_100k_Pop,Avg_Beds_per_Hospital,Bed_Occupancy_Rate_Pct,Urban_Population_Pct,Area_km2,Population_Share_Pct,Tertiary_Hospitals,District_Hospitals,Upazila_Health_Complexes,Private_Clinics,Specialized_Hospitals,NGO_Facilities,Community_Health_Clinics,Diagnostic_Centers,Dengue_Rate_per_100k,Dengue_Category,Dengue_Waste_Adjustment,Birth_Rate_Category,GDP_Category,GDP_Growth_Pct,Waste_Mgmt_Coverage_Pct,Proper_Segregation_Pct,Facilities_with_Incinerator,Facilities_with_Autoclave,General_Waste_kg_day,Infectious_Waste_kg_day,Sharps_Waste_kg_day,Pharmaceutical_Waste_kg_day,Chemical_Waste_kg_day,Cytotoxic_Waste_kg_day,Pathological_Waste_kg_day,Radioactive_Waste_kg_day,Total_Hazardous_Waste_kg_day,Total_Medical_Waste_kg_day,Waste_per_Bed_kg_day,Hazardous_Waste_Pct,Waste_log,Dengue_Cases_lag1,Waste_lag1,Dengue_roll3,Waste_roll3
2002,Barisal,108.0,4216.0,25.08,446.2,160.0,496.0,127.06,39.0,88.4,12.5,13644.0,5.0,9.0,19.0,21.0,31.0,7.0,7.0,6.0,5.0,1.88,Low,1.0816,High,Low Income,1.41,32.3,44.4,9.0,6.0,7127.78,2313.02,210.23,94.96,123.7,52.93,220.68,5.317,3020.84,10148.62,2.4072,29.77,9.225191545345453,53.0,6311.19,110.66666666666667,7803.553333333333
2003,Barisal,116.0,4552.0,24.06,492.6,66.0,535.529,136.47,39.2,87.3,12.8,13644.0,5.0,8.0,18.0,26.0,35.0,8.0,9.0,7.0,5.0,0.78,Low,1.065,High,Low Income,6.62,33.4,45.3,8.0,11.0,8301.59,2581.81,222.99,155.67,85.94,39.18,307.81,2.588,3395.98,11697.57,2.5698,29.03,9.36722189109388,160.0,10148.62,93.0,9385.793333333333
2004,Barisal,121.0,4541.0,24.0,514.5,88.0,534.235,142.35,37.5,54.0,13.0,13644.0,5.0,8.0,22.0,26.0,32.0,9.0,8.0,6.0,6.0,1.04,Low,1.0709,High,Low Income,5.65,34.0,45.7,10.0,11.0,5253.0,1421.51,121.33,63.54,45.98,48.85,184.34,4.511,1890.06,7143.06,1.573,26.46,8.874036521177281,66.0,11697.57,104.66666666666667,9663.083333333334
2005,Barisal,125.0,4861.0,22.94,571.2,64.0,571.882,147.06,38.9,40.4,13.3,13644.0,5.0,9.0,21.0,25.0,38.0,8.0,8.0,7.0,6.0,0.75,Low,1.0771,Medium-High,Low Income,10.06,35.3,46.8,5.0,13.0,3888.25,1077.61,94.79,58.86,54.68,27.48,116.61,4.854,1434.88,5323.13,1.0951,26.96,8.580004596947923,88.0,7143.06,72.66666666666667,8054.586666666667
2006,Barisal,137.0,5024.0,22.48,597.6,60.0,591.059,161.18,36.7,82.0,13.6,13644.0,5.0,9.0,27.0,25.0,40.0,10.0,10.0,7.0,6.0,0.71,Low,1.0857,Medium-High,Low Income,7.48,36.0,47.3,5.0,11.0,8317.58,2460.04,226.58,120.1,121.11,33.55,271.93,6.645,3239.96,11557.53,2.3005,28.03,9.355178971510759,64.0,5323.13,70.66666666666667,8007.906666666667
2007,Barisal,146.0,5559.0,22.95,648.6,67.0,654.0,171.76,38.1,86.5,13.8,13644.0,5.0,11.0,26.0,25.0,42.0,12.0,10.0,9.0,7.0,0.79,Low,1.0812,Medium-High,Lower Middle,8.46,37.2,48.3,7.0,15.0,8996.95,3188.08,268.33,162.24,91.82,47.83,292.3,1.672,4052.27,13049.22,2.3474,31.05,9.476560270846289,60.0,11557.53,63.666666666666664,9976.626666666665
2008,Barisal,155.0,6190.0,22.45,666.6,224.0,728.235,182.35,39.9,86.2,14.1,13644.0,5.0,13.0,29.0,32.0,45.0,12.0,11.0,7.0,7.0,2.64,Low,1.0711,Medium-High,Lower Middle,3.35,37.7,48.6,13.0,11.0,10835.7,3499.12,310.12,213.73,178.82,82.38,261.43,9.175,4554.77,15390.47,2.4863,29.59,9.641568738840709,67.0,13049.22,117.0,13332.406666666668
2009,Barisal,163.0,6042.0,21.88,781.4,135.0,710.824,191.76,37.1,64.2,14.3,13644.0,5.0,14.0,27.0,31.0,46.0,11.0,11.0,10.0,7.0,1.59,Low,1.0903,Medium-High,Lower Middle,11.63,40.4,50.8,7.0,8.0,8418.81,2546.0,213.66,128.87,126.52,47.36,214.99,2.613,3280.02,11698.83,1.9363,28.04,9.367329590765758,224.0,15390.47,142.0,13379.506666666666
2010,Barisal,156.0,6014.0,20.44,841.9,139.0,707.529,183.53,38.6,36.2,14.6,13644.0,5.0,12.0,28.0,31.0,39.0,13.0,12.0,8.0,7.0,1.64,Low,1.0662,Medium-High,Lower Middle,10.92,41.8,51.9,11.0,10.0,4304.87,1338.79,120.39,58.42,41.92,19.16,112.42,5.074,1696.17,6001.04,0.9978,28.26,8.69985469042329,135.0,11698.83,166.0,11030.113333333333
2011,Barisal,176.0,6638.0,20.93,882.0,359.0,780.941,207.06,37.7,65.3,14.9,13644.0,5.0,13.0,31.0,32.0,49.0,14.0,10.0,11.0,9.0,4.22,Low,1.0841,Medium-High,Lower Middle,6.78,42.8,52.7,9.0,24.0,7934.99,2461.32,226.59,170.22,128.04,57.93,239.86,4.528,3288.48,11223.47,1.6908,29.3,9.325851495460109,139.0,6001.04,211.0,9641.113333333333
